source_index,true,predicted,text
841,talk.politics.misc,talk.politics.guns,"

    You're being too generous to the communists, I think.  In practice,
communism has ""solved"" the problem by killing off anybody who is _too_
productive, and who therefore raises embarrassing questions about why the
rest of the group is a bunch of sluggards.  The mass butchery of ""kulaks""
in the USSR is a good instance of this.
    A poor second best is to have a neighboring capitalist country to which
people of politically incorrect skill and ambition flee.  I often wonder
just what Castro would have done if the Cubans presently in Miami would
have been forced to remain in Cuba.  Would they have revolted and killed
him off, or been killed?
    Best of all is to build a wall locking the citizens of your country in,
load it up so heavily with attack dogs, barbed wire, and land mines that
most people fleeing over it die, and then give everyone the choice of
obedience, prison, or flight.  This would be a bad science-fiction novel,
if the East Germans hadn't actually done it.  The last person to die
crossing the wall, as I recall, was an unarmed woman who was shot in the
back.  Erich Honecker was going to go on trial for that, but he fled to
socialists in Chile.
    It's good to be kind to one's intellectual opponents, but sometimes
it's a sheer waste of time."
670,talk.politics.mideast,talk.politics.misc,"
...

    Sounds just like a racial theory that Hitler outlined in Mein Kampf.



-- 
------------------------------------------------------------------------------------------
Disclaimer: Opinions expressed are mine, not my employer's."
1490,talk.politics.misc,talk.politics.mideast,"Are you assuming that families in the inner city don't have family values ?
I sure hope not.


"
1304,talk.politics.misc,talk.politics.mideast,"
Since you asked, Article I Section 1.  Article I Section 8.  Article I 
Section 10.  Article II Section 2.  Article VI.  Sixteenth Amendment.

With this as a guide, try reading it yourself.

jsh
"
446,talk.politics.misc,talk.politics.mideast,"

I recommend the book ""Adams _v_ Texas"", the story of a man (Adams) who
was sentenced to death for a crime he didn't commit.  Most of the book
is the story of the long appeals process, and the problems and delays
caused by not being able to introduce new evidence in certain courts.
"
153,talk.politics.guns,talk.politics.mideast,"
        Well, if we're going to discuss being a police officer in
America today.       

        The FBI lists 132 police officers killed (feloniously and
accidentally) in 1990.  That's apparently everybody at all levels.

Year        Officers killed       Rate/100,000 police officers
1982             164*                  47.6
1983             152**                 40.2
1984             147                   39.4
1985             148***                37.9
1986             133                   34.9
1987             148                   39.0
1988             155****               41.9
1989             145*****              38.1
1990             132                   32.0


* Includes one officer in Mariana Islands
** Includes one officer each in Guam and Mariana Islands
*** Includes one officer in Guam and two in foreign locations
**** Includes one officer in American Samoas and two in foreign countries
***** Includes one officer in Guam and one Federal officer killed in
Peru


       God, I love the information age!  :-) 
"
1421,talk.politics.guns,talk.politics.misc,"

	No, you merely have to start working on yellowcake or else
devise a system to get it from other sources.  BTW: the DOE handles
reactor fuel, and merely leases it to reactors.  The NRC certifies these
reactors.  The military have their own sources.  A private citizen has
none of these official sources.


	That's freshman-level chemistry.  Big deal.  Can you make it
work?  That's PhD-level physics.  Big difference.


	So you admit that there's no law that could stop you?  Physics
aside, could you make one if you had the funds and time?  The answer
is yes.  So, do we lock you up now because of this?  Surely you can
see where the comparison with anti-gun laws comes into play here?


	Precisely why it's not as readily utilized as you seem to have
been lead to believe.  BTW: 98% U235 is far better for home-made bombs
than trying to use plutonium.  The laws of physics make the creation of
a device without serious manufacturing facilities very low in probability."
768,talk.politics.guns,talk.politics.mideast,"
Did you forget to put in a sarcasm flag?"
548,talk.politics.mideast,talk.politics.misc,"


So why don't ypu sue him.

----"
474,talk.politics.guns,talk.politics.mideast,"

I believe we still remember Masada, where Jews killed themselves rather
than being captured by the Romans.  While I do not agree with the
Davidians, I must admire their willingness to die for what they 
believed, which Jews have had to do often."
381,talk.politics.mideast,talk.politics.misc,"

I know nothing about statistics, but what significance does the
relatively small population growth rate have where the sampling period
is so small (at the end of 1371)? Is it adequete to suggest a trend or
is it just noise?
"
1378,talk.politics.misc,talk.politics.guns,"
Last I checked I was one person, I haven't even been elected
as a representative for ""gaydom"". Should I ascribe every thing
you say as representing every member of the straight community?


Thats the point. If there are several million queers in DC you had better
start wondering about the validity of the study.
"
1228,talk.politics.mideast,talk.politics.guns,"From article <1993Apr15.031349.21824@src.honeywell.com>, by amehdi@src.honeywell.com (Hossien Amehdi):

Tell me then, would you also fight the Syrians in Lebanon?

Oh, no of course not. They would be your brothers and you would
tell that you invited them. "
