source_index,true,predicted,text
841,talk.politics.misc,talk.politics.mideast,"

    You're being too generous to the communists, I think.  In practice,
communism has ""solved"" the problem by killing off anybody who is _too_
productive, and who therefore raises embarrassing questions about why the
rest of the group is a bunch of sluggards.  The mass butchery of ""kulaks""
in the USSR is a good instance of this.
    A poor second best is to have a neighboring capitalist country to which
people of politically incorrect skill and ambition flee.  I often wonder
just what Castro would have done if the Cubans presently in Miami would
have been forced to remain in Cuba.  Would they have revolted and killed
him off, or been killed?
    Best of all is to build a wall locking the citizens of your country in,
load it up so heavily with attack dogs, barbed wire, and land mines that
most people fleeing over it die, and then give everyone the choice of
obedience, prison, or flight.  This would be a bad science-fiction novel,
if the East Germans hadn't actually done it.  The last person to die
crossing the wall, as I recall, was an unarmed woman who was shot in the
back.  Erich Honecker was going to go on trial for that, but he fled to
socialists in Chile.
    It's good to be kind to one's intellectual opponents, but sometimes
it's a sheer waste of time."
1026,talk.politics.misc,talk.politics.guns,"

That was hardly the point, was it? I was commenting on this all-too-common
Republican attitude that if people disagree with us, they must be idiots, they
must be sheep being led around by the Evil Liberal Media Conspiracy. This is
a dangerous attitude indeed. Because it's not a very big step from ""people
are sheep, they can't think for themselves"" to ""people are sheep and need
firm leadership from we, who know better""... this sort of attitude makes
me worry about what'll happen to the United States if the extremist wing
of the Republican party ever gets back into power again.


Hey! This is a government-funded newsgroup! Let's have some separation
of church and state, damn it!




More like:

Broward: ""Clinton's going to raise your income taxes by over $1000!""
Mark:    ""No, he's not, only about $204.""
Broward: (silence)


OK, I predict that in 1996 the Republicans will STILL be bitter. Yeah, yeah,
I know, it's not very impressive to predict things that are inevitable..."
670,talk.politics.mideast,talk.politics.misc,"
...

    Sounds just like a racial theory that Hitler outlined in Mein Kampf.



-- 
------------------------------------------------------------------------------------------
Disclaimer: Opinions expressed are mine, not my employer's."
1490,talk.politics.misc,talk.politics.guns,"Are you assuming that families in the inner city don't have family values ?
I sure hope not.


"
1304,talk.politics.misc,talk.politics.guns,"
Since you asked, Article I Section 1.  Article I Section 8.  Article I 
Section 10.  Article II Section 2.  Article VI.  Sixteenth Amendment.

With this as a guide, try reading it yourself.

jsh
"
446,talk.politics.misc,talk.politics.mideast,"

I recommend the book ""Adams _v_ Texas"", the story of a man (Adams) who
was sentenced to death for a crime he didn't commit.  Most of the book
is the story of the long appeals process, and the problems and delays
caused by not being able to introduce new evidence in certain courts.
"
1569,talk.politics.misc,talk.politics.mideast,"

With yet another tax being floated by the Clinton administration to
pay for new ``free'' social programs, I've really begun to suspect
that the Canadians, long resentful of their place in the American
shadow, brainwashed an American draft dodger who fled to Canada some
time between 1966 and 1968, tutored him in the ways of Canadian
socialism, awarded him with smokeless marijuana cigarettes when he got
the correct answers, then returned him to the states (under the
control of the domineering wife assigned to his case) to attain high
public office and destroy the evil individualistic and free market
forces in America, thus shaping America in the Canadian image."
768,talk.politics.guns,talk.politics.mideast,"
Did you forget to put in a sarcasm flag?"
548,talk.politics.mideast,talk.politics.guns,"


So why don't ypu sue him.

----"
474,talk.politics.guns,talk.politics.mideast,"

I believe we still remember Masada, where Jews killed themselves rather
than being captured by the Romans.  While I do not agree with the
Davidians, I must admire their willingness to die for what they 
believed, which Jews have had to do often."
