source_index,true,predicted,text
841,talk.politics.misc,talk.politics.guns,"

    You're being too generous to the communists, I think.  In practice,
communism has ""solved"" the problem by killing off anybody who is _too_
productive, and who therefore raises embarrassing questions about why the
rest of the group is a bunch of sluggards.  The mass butchery of ""kulaks""
in the USSR is a good instance of this.
    A poor second best is to have a neighboring capitalist country to which
people of politically incorrect skill and ambition flee.  I often wonder
just what Castro would have done if the Cubans presently in Miami would
have been forced to remain in Cuba.  Would they have revolted and killed
him off, or been killed?
    Best of all is to build a wall locking the citizens of your country in,
load it up so heavily with attack dogs, barbed wire, and land mines that
most people fleeing over it die, and then give everyone the choice of
obedience, prison, or flight.  This would be a bad science-fiction novel,
if the East Germans hadn't actually done it.  The last person to die
crossing the wall, as I recall, was an unarmed woman who was shot in the
back.  Erich Honecker was going to go on trial for that, but he fled to
socialists in Chile.
    It's good to be kind to one's intellectual opponents, but sometimes
it's a sheer waste of time."
670,talk.politics.mideast,talk.politics.misc,"
...

    Sounds just like a racial theory that Hitler outlined in Mein Kampf.



-- 
------------------------------------------------------------------------------------------
Disclaimer: Opinions expressed are mine, not my employer's."
1490,talk.politics.misc,talk.politics.guns,"Are you assuming that families in the inner city don't have family values ?
I sure hope not.


"
1304,talk.politics.misc,talk.politics.mideast,"
Since you asked, Article I Section 1.  Article I Section 8.  Article I 
Section 10.  Article II Section 2.  Article VI.  Sixteenth Amendment.

With this as a guide, try reading it yourself.

jsh
"
446,talk.politics.misc,talk.politics.guns,"

I recommend the book ""Adams _v_ Texas"", the story of a man (Adams) who
was sentenced to death for a crime he didn't commit.  Most of the book
is the story of the long appeals process, and the problems and delays
caused by not being able to introduce new evidence in certain courts.
"
153,talk.politics.guns,talk.politics.mideast,"
        Well, if we're going to discuss being a police officer in
America today.       

        The FBI lists 132 police officers killed (feloniously and
accidentally) in 1990.  That's apparently everybody at all levels.

Year        Officers killed       Rate/100,000 police officers
1982             164*                  47.6
1983             152**                 40.2
1984             147                   39.4
1985             148***                37.9
1986             133                   34.9
1987             148                   39.0
1988             155****               41.9
1989             145*****              38.1
1990             132                   32.0


* Includes one officer in Mariana Islands
** Includes one officer each in Guam and Mariana Islands
*** Includes one officer in Guam and two in foreign locations
**** Includes one officer in American Samoas and two in foreign countries
***** Includes one officer in Guam and one Federal officer killed in
Peru


       God, I love the information age!  :-) 
"
768,talk.politics.guns,talk.politics.mideast,"
Did you forget to put in a sarcasm flag?"
548,talk.politics.mideast,talk.politics.misc,"


So why don't ypu sue him.

----"
474,talk.politics.guns,talk.politics.mideast,"

I believe we still remember Masada, where Jews killed themselves rather
than being captured by the Romans.  While I do not agree with the
Davidians, I must admire their willingness to die for what they 
believed, which Jews have had to do often."
574,talk.politics.mideast,talk.politics.misc,"----------------------------Original message----------------------------
                                                                    D""SB

Mincha, Tish(a Yamim La(Omer, Yom Chamishi, Y""D b'Nisan ThShN""G;
Universita Varsha b'Varsha, Galut HaMara Meod.

SHALOM ALL!
Those of You visiting The Ghetto City these days might be
interested in the following events timetable  (abridged):
19:00, Fri., 16th April, '93: Kabbalat Shabbat service at the Nozyk Shul
                                (6 Twarda Street, Warsaw -- a 10 mins'
                                walk from the Palace of Science &
                                Culture: the tallest building in the
                                city's centre, & the same distance from
                                the Central Railway Station).
09:30, Sat., 17th April,  "" : Shacharit L'Shabbat service, Nozyk Shul.
11:30, Sun., 18th April,  "" : The Fallen Ones Memorial service, Nozyk Shul.
13:00, Sun., 18th April,  "" : Memorial Ceremony at the Jewish Cemetery
                                (Okopowa Street, Warsaw).
18:00, Sun., 18th April,  "" : Official Arts Programme at the Congress Hall
                                (a building adjacent to the Palace of
                                Science & Culture, which -- like the Shul
                                -- is located a quarter's walk from most of
                                downtown hotels: Bristol, Forum, Victoria,
                                Europejski, Holiday Inn, Marriott).
12:00, Mon., 19th April,  "" : Laying of Wreaths at the Ghetto Heros
                                Monument."
981,talk.politics.misc,talk.politics.guns,"tes:
.
s.

Or mug me.

Why must you pursue this fantasy that all crime is derived from ""underground 
economies"".

 ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
Haaahaaaahaaaa


Yeah buddy, this happens all the time.  Tell me, HAS IT EVERY REALLY HAPPENED 
TO YOU?   That's what I thought.


Your foolish.

          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
Must I ask again, what part?


All I ask is that drugs stay illegal.  I don't think it's too much to ask.
"
507,talk.politics.misc,talk.politics.guns,"

Well yes and no. The Federalist papers are propaganda and it is therefore
difficult to determine precisely what Maddison etc were up to from them. They
certainly emphasised a limited role for the federal government but this
was not necessarily their true position.


The Senate was less powerful than the House of Lords in the period in question.
The stripping of the powers of the House of Lords did not occur until 1914
and David Llloyd George's budget. Even despite this the House of Lords has
considerable power even today and is far from a rubber stamping body. 



The system is meant to be slow to react, the problem is that it ended up
a bit too slow.



The Presiden't veto was meant to be entirely separate. Until Bush abused it
in a quite extraordinary manner it was used more in accord with the intent
of being a check on unreasonable legislation. The veto was clearly regarded 
as a completely last gasp measure its use was meant to be restricted to
preventing the legislature interfering with the actions of the executive."
381,talk.politics.mideast,talk.politics.misc,"

I know nothing about statistics, but what significance does the
relatively small population growth rate have where the sampling period
is so small (at the end of 1371)? Is it adequete to suggest a trend or
is it just noise?
"
1378,talk.politics.misc,talk.politics.guns,"
Last I checked I was one person, I haven't even been elected
as a representative for ""gaydom"". Should I ascribe every thing
you say as representing every member of the straight community?


Thats the point. If there are several million queers in DC you had better
start wondering about the validity of the study.
"
1228,talk.politics.mideast,talk.politics.guns,"From article <1993Apr15.031349.21824@src.honeywell.com>, by amehdi@src.honeywell.com (Hossien Amehdi):

Tell me then, would you also fight the Syrians in Lebanon?

Oh, no of course not. They would be your brothers and you would
tell that you invited them. "
360,talk.politics.mideast,talk.politics.misc,"

And anyone who doesn't agree with you is, by your own definitions, a
""useless fart"".  Just like any text that disputes your own ""findings""
is always described as ""flawed"" or ""biased"".  In other words, you
trumpet the things you like and dismiss those that might embarass you.
We've seen you play these games here for a long time.

One thing is for sure: When it comes to ""useless farts"", you sure know 
what you're talking about.
"
995,talk.politics.misc,talk.politics.guns,"
Who compared Quayle to Gore?  Mark said he had never heard of any incident
in which the thrower of the ceremonial ball had been booed before.  I mentioned
another incident.  (And if the media had a liberal bias, I'm sure he would
have heard of the Quayle incident.)

If I was to compare Quayle to anyone, it most likely would be Elmer Fudd.

"
