source_index,true,predicted,text
2,talk.politics.guns,talk.politics.mideast,"
STOP IT!!!! ENOUGH!!! I'm out of there!  I mean, I'm a relatively sane person. 
God knows I'm weak and will forgive me.  But I'm not stupid enough to stay in
this place any longer.  I WANT OUT!!!


Yeah, and at least one person ran back in. SOunds like a personal choice to me.
Religious fanaticsm, and a beleive that dying in the 'defense' of your beliefs,
is probably at the core of what happened in Waco. We in the west tend to
disregard fanaticsm of the type displayed by many Moslem fundamentalist groups
who see nothing wrong with dying for their beliefs/convictions. I suspect that
this same type of fanaticsm was displayed by the BDs. BUt we'll probably never
know..."
3,talk.politics.misc,talk.politics.guns,"



They police did not beat King when he was on the ground. They beat him when
he was on his knees trying to get back up. If you had watche d the entire
video you would have seen this.


If you think this is true, much less relevant, than you are in sadder shape
than I thought."
7,talk.politics.misc,talk.politics.guns,"



         The BATF warrant was unsealed yesterday.

         The entire operation was illegal from day ONE.


       No authority for a ""no-knock"" raid.
       No authority to use the Texas helicopters.
       No authority to search for a ""drug lab"".  More ATF lies.
"
8,talk.politics.misc,talk.politics.guns,"

lightly off track, but still relevant: why all the crying
over the children?  I know we are hardwired to consider
the future of the race, and comapssionate people are concerned
for all children; but so what?

For the Branch Davidians, the options were to die or
submit to Evil[tm] - and have their children's very
souls lost due to the brain washing of the Ungodly
State.  (to put this in terms the 'average' netter might
	grasp: they considered it the equivalent of putting
	Jesse Helms in charge of NEA _and_ MTV.)

And remembering that in 1983 the Supreme Court Struck Down
Freedom of Conscience (IRS vs Bob Jones et al.):

Who's next?

Is your religion / belief system Government Approved?

Jim JOnes had won numerous awards from the state before
he moved to Guiana?  Obviously state regulation would have
stopped that tragedy too.


chus
pyotr

p.s. The Mormons weren't always Saints, but they did go a long
way to be left alone. Always a ThoughtCrime in any ProperState.
"
12,talk.politics.misc,talk.politics.guns," 
Well, for one thing most, if not all the Dividians (depending on whether
they could show they acted in self-defense and there were no illegal
weapons), could have gone on with their life as they were living it.
No one was forcing them to give up their religion or even their
legal weapons. The Dividians had survived a change in leadership
before so even if Koresch himself would have been convicted and
sent to jail, they still could have carried on.
 
I don't think the Dividians were insane, but I don't see a reason
for mass suicide (if the fire was intentional set by some of the
Dividians.) We also don't know that, if the fire was intentionally
set from inside, was it a generally know plan or was this something
only an inner circle knew about, or was it something two or three
felt they had to do with or without Koresch's knowledge/blessing, etc.?
I don't know much about Masada. Were some people throwing others over?
Did mothers jump over with their babies in their arms?"
18,talk.politics.guns,talk.politics.misc,"From the Boston Globe, Thursday April 22 1993

p. 44

Walpole man, 32, guilty in rape

Kenne, N.H. -- A Walpole man
charged with kidnapping a
mother of two from her home, then
raping and beating her, has pleaded 
guilty.  Roger Santaw Jr. also plead-
ed guilty to an attempted escape
from Cheshire County jail last win-
ter.  Santaw, 32 is scheduled to be
sentenced next week.  The rape last
fall came six months after Santaw
was released from prision, where
he spent 15 years for a rape he commit-
ted when he was 16.  (AP)


 
[end of article]

Any reactions?  Did he do enough time?  What should his penalty
be?  "
19,talk.politics.misc,talk.politics.guns,"
You know, you have a point here, but don't stop with African Americans...
When I was in high school in the early 1980s, on various occasions I had
knives pulled on me, had friends who were stabbed, and I was beaten up
repeatedly by those that couldn't accept me as different.  And don't
let the teachers off the hook either.  On many many occasions, there
were teachers that either resented me or were too scared out of their
wits by the bullies to even stop the people who attacked me and they
would just watch quietly...  All of this was in a nice white middle
class high school.  In fact, we were so nice and white that we made
sure that the one black kid in my class was unable to go to the prom
with his white girlfriend...  This isn't a race thing, it's the
way public schools seem to be run...

I'd hate to be in high school right now...  At least I didn't have
to deal with guns, just the roving psycho-drug-dorks and the jocks-
without-a-future-but-with-plenty-of-testosterone...

I'd separate everyone who wants to learn from these assholes...  But hey,
the valuelessness of learning and glorification of jocks is an American
tradition, you think anything is going to change?  If you have kids,
take 'em out of the public school system and educate them yourself...
That's what I'll do if I ever have them...  I wouldn't wish what I went
through upon any kid...  Maybe on some of their parents though..."
27,talk.politics.mideast,talk.politics.guns,"... Wayne McGuire?  Did someone prove he's anon15031@anon.penet.fi,
and he ran off to restock on PCP?"
41,talk.politics.misc,talk.politics.mideast,"



Vocabulary test: Please define the following words:

   a) contradictory
   b) ambiguous"
42,talk.politics.mideast,talk.politics.guns,"
Why? There is no need to go into this.......


especially this rivetting piece of information.


As I remember, someone did ask if UV had a speach code. But, really,
there is no need for this brief survey course. 


How wonderful for you.


"
